,Year,Timesteps,From reg,To reg,Carrier,Value
8541,2026,22,reg3,reg1,Final_electricity,0.0
8542,2026,23,reg3,reg1,Final_electricity,0.0
8543,2026,24,reg3,reg1,Final_electricity,0.0
8544,2027,1,reg3,reg1,Final_electricity,0.0
8545,2027,2,reg3,reg1,Final_electricity,0.0
8546,2027,3,reg3,reg1,Final_electricity,0.0
8547,2027,4,reg3,reg1,Final_electricity,0.0
8548,2027,5,reg3,reg1,Final_electricity,0.0
8549,2027,6,reg3,reg1,Final_electricity,0.0
8550,2027,7,reg3,reg1,Final_electricity,0.0
8551,2027,8,reg3,reg1,Final_electricity,0.0
8552,2027,9,reg3,reg1,Final_electricity,0.0
8553,2027,10,reg3,reg1,Final_electricity,0.0
8554,2027,11,reg3,reg1,Final_electricity,0.0
8555,2027,12,reg3,reg1,Final_electricity,0.0
8556,2027,13,reg3,reg1,Final_electricity,0.0
8557,2027,14,reg3,reg1,Final_electricity,0.0
8558,2027,15,reg3,reg1,Final_electricity,0.0
8559,2027,16,reg3,reg1,Final_electricity,0.0
8560,2027,17,reg3,reg1,Final_electricity,0.0
8561,2027,18,reg3,reg1,Final_electricity,0.0
8562,2027,19,reg3,reg1,Final_electricity,0.0
8563,2027,20,reg3,reg1,Final_electricity,0.0
8564,2027,21,reg3,reg1,Final_electricity,0.0
8565,2027,22,reg3,reg1,Final_electricity,0.0
8566,2027,23,reg3,reg1,Final_electricity,0.0
8567,2027,24,reg3,reg1,Final_electricity,0.0
8568,2028,1,reg3,reg1,Final_electricity,0.0
8569,2028,2,reg3,reg1,Final_electricity,0.0
8570,2028,3,reg3,reg1,Final_electricity,0.0
8571,2028,4,reg3,reg1,Final_electricity,0.0
8572,2028,5,reg3,reg1,Final_electricity,0.0
8573,2028,6,reg3,reg1,Final_electricity,0.0
8574,2028,7,reg3,reg1,Final_electricity,0.0
8575,2028,8,reg3,reg1,Final_electricity,0.0
8576,2028,9,reg3,reg1,Final_electricity,0.0
8577,2028,10,reg3,reg1,Final_electricity,0.0
8578,2028,11,reg3,reg1,Final_electricity,0.0
